0;0;240;480;720;960;1200;1440;1680;1920;2160;2400;2640;2880;3120;3360;3600;3840;4080;4320;4560;4800;5040;5280;5520;5760;6000;6240;6480;6720;6960;7200;7440;7680;7920;8160;8400;8640;8880;9120;9360;9600;9840;10080;10320;10560;10800;11040;11280;11520;11760;12000;12240;12480;12720;12960;13200;13440;13680;13920;14160;14400;14640;14880;15120;15360;15600;15840;16080;16320;16560;16800;17040;17280;17520;17760;18000;18240;18480;18720;18960;19200;19440;19680;19920;20160;20400;20640;20880;21120;21360;21600;21840;22080;22320;22560;22800;23040;23280;23520;23760;24000;24240;24480;24720;24960;25200;25440;25680;25920;26160;26400;26640;26880;27120;27360;27600;27840;28080;28320;28560;28800
190;0.211899;0.178680;0.194580;0.188110;0.188171;0.188919;0.182602;0.174835;0.211166;0.200256;0.193817;0.187363;0.191422;0.207703;0.210251;0.193756;0.179474;0.179474;0.192108;0.190552;0.197815;0.200317;0.200256;0.196991;0.216125;0.238937;0.208618;0.205276;0.178680;0.211899;0.237946;0.220474;0.190613;0.197876;0.209396;0.211105;0.211166;0.190552;0.227371;0.184204;0.229980;0.191360;0.225677;0.206131;0.198715;0.213669;0.210312;0.197052;0.203537;0.201920;0.228256;0.222153;0.204376;0.220474;0.220474;0.221283;0.201157;0.204437;0.221344;0.195343;0.227432;0.229156;0.222153;0.221344;0.223099;0.219604;0.223038;0.211899;0.189743;0.220413;0.234390;0.229980;0.233566;0.222229;0.213608;0.206985;0.231766;0.221283;0.236206;0.207703;0.208618;0.214462;0.214462;0.206909;0.216980;0.223984;0.196991;0.255432;0.201080;0.227432;0.228256;0.233490;0.232666;0.242599;0.230042;0.218719;0.259171;0.224792;0.248932;0.224792;0.225601;0.216125;0.223907;0.224731;0.250793;0.234467;0.248001;0.228333;0.262924;0.234390;0.247147;0.234390;0.227432;0.233643;0.209457;0.229980;0.215332;0.238937;0.240753;0.257187;0.246216
192;0.200272;0.194733;0.208374;0.209259;0.224243;0.204300;0.202652;0.193176;0.197891;0.219971;0.198700;0.206711;0.201080;0.197830;0.227570;0.220825;0.212479;0.231949;0.224243;0.216629;0.223389;0.231064;0.222534;0.206772;0.205124;0.220825;0.237091;0.207535;0.237976;0.219177;0.227646;0.203537;0.197891;0.238876;0.215790;0.215790;0.245087;0.238052;0.220825;0.217484;0.235321;0.239761;0.220032;0.245926;0.229385;0.221741;0.206772;0.217545;0.211639;0.213257;0.210800;0.224182;0.247818;0.239761;0.216629;0.241562;0.244186;0.216629;0.252167;0.231873;0.229385;0.242386;0.235397;0.250412;0.216629;0.240585;0.237152;0.224182;0.254013;0.229324;0.238876;0.213257;0.267929;0.251328;0.245926;0.269760;0.248581;0.241486;0.218262;0.231064;0.233627;0.245087;0.247742;0.258652;0.264130;0.261459;0.252319;0.277420;0.252167;0.237976;0.212479;0.250473;0.244186;0.229324;0.240662;0.252243;0.252167;0.258575;0.230133;0.240662;0.225052;0.250412;0.262253;0.259583;0.224243;0.264206;0.267853;0.249557;0.250473;0.244186;0.266098;0.255859;0.234573;0.249557;0.242386;0.245087;0.246902;0.265152;0.250412;0.254074;0.243362
194;0.225174;0.247162;0.225052;0.221619;0.217453;0.204056;0.228546;0.206558;0.243576;0.223358;0.232971;0.226868;0.210770;0.229431;0.231186;0.236404;0.242661;0.229492;0.238205;0.209076;0.229370;0.232071;0.209076;0.230316;0.224243;0.260071;0.235504;0.231186;0.209854;0.224243;0.232071;0.200806;0.253494;0.249924;0.237381;0.232971;0.237381;0.238205;0.225983;0.253571;0.225983;0.222565;0.249847;0.230240;0.248001;0.259995;0.253494;0.279968;0.238205;0.239929;0.255371;0.282028;0.211548;0.240845;0.240845;0.213257;0.265717;0.246246;0.260941;0.219971;0.266525;0.256378;0.255432;0.261017;0.266525;0.230240;0.232895;0.238281;0.252640;0.248993;0.258179;0.244415;0.236404;0.264679;0.258118;0.226791;0.261902;0.241745;0.255432;0.252563;0.249924;0.247086;0.236481;0.240845;0.260071;0.248993;0.249847;0.248001;0.238205;0.268448;0.227737;0.244476;0.234619;0.245392;0.288971;0.233856;0.219101;0.260864;0.268524;0.256378;0.237305;0.268448;0.233795;0.242661;0.270386;0.225052;0.269424;0.250778;0.259048;0.259995;0.267487;0.280045;0.244476;0.289902;0.263809;0.251709;0.252640;0.242737;0.293915;0.259995;0.259125
196;0.239517;0.193649;0.181885;0.205002;0.195389;0.201401;0.201523;0.204102;0.180328;0.211136;0.190338;0.221954;0.235840;0.220032;0.238632;0.220032;0.202347;0.198822;0.212936;0.244293;0.228333;0.215607;0.199707;0.191132;0.232895;0.205750;0.234802;0.228409;0.226456;0.215607;0.240479;0.224594;0.234879;0.226456;0.227402;0.232101;0.233047;0.233856;0.238632;0.205002;0.214691;0.255051;0.223740;0.249100;0.239517;0.227402;0.244370;0.248199;0.242416;0.209412;0.205750;0.238556;0.262878;0.221024;0.212036;0.240479;0.232101;0.228333;0.250168;0.225525;0.235840;0.255981;0.270050;0.221878;0.216507;0.262878;0.253067;0.241455;0.217361;0.229202;0.216507;0.247223;0.217361;0.237671;0.252991;0.236786;0.231155;0.223740;0.228409;0.230209;0.246323;0.279282;0.211136;0.259995;0.230209;0.248199;0.228409;0.237671;0.249176;0.249100;0.233047;0.236710;0.233932;0.230209;0.226532;0.255981;0.242340;0.226532;0.246323;0.273071;0.230209;0.250168;0.264999;0.256973;0.235840;0.255051;0.247299;0.242340;0.250092;0.250092;0.237747;0.244370;0.232101;0.291962;0.223663;0.251083;0.211060;0.231155;0.237671;0.239517;0.237671
198;0.233124;0.251694;0.230347;0.247833;0.228516;0.247910;0.225769;0.241318;0.245117;0.219650;0.249756;0.246002;0.227600;0.206512;0.242340;0.246078;0.222275;0.249756;0.231262;0.244171;0.224930;0.243210;0.227600;0.258362;0.261322;0.253555;0.231262;0.229431;0.260330;0.237701;0.216888;0.241394;0.241394;0.246078;0.226746;0.253632;0.248795;0.234055;0.234909;0.269226;0.247910;0.249832;0.240387;0.244171;0.234909;0.238571;0.253632;0.239517;0.237640;0.252579;0.248871;0.239517;0.230347;0.269226;0.260330;0.250793;0.245117;0.251755;0.276260;0.252655;0.253555;0.259338;0.245117;0.270157;0.283310;0.250793;0.275238;0.270157;0.267136;0.255585;0.254532;0.275162;0.277206;0.251755;0.276184;0.257538;0.289520;0.232193;0.276184;0.263306;0.247986;0.247025;0.254608;0.271164;0.285400;0.263306;0.278229;0.271164;0.257538;0.258438;0.251694;0.282196;0.237701;0.269226;0.283234;0.266296;0.275162;0.272247;0.264297;0.280289;0.271164;0.268219;0.273117;0.329727;0.259415;0.239517;0.252731;0.307510;0.291641;0.292694;0.268219;0.257538;0.268219;0.262238;0.279175;0.276184;0.258438;0.266296;0.288467;0.262238;0.261322
200;0.237289;0.250565;0.242950;0.233521;0.276276;0.233521;0.230850;0.236343;0.223587;0.219925;0.256317;0.220825;0.251465;0.233597;0.255478;0.229919;0.251465;0.232651;0.222656;0.223587;0.261368;0.216354;0.228989;0.216354;0.241028;0.248688;0.238251;0.279404;0.232574;0.246735;0.233597;0.239197;0.217255;0.236343;0.270264;0.233597;0.262299;0.256393;0.242950;0.252441;0.265244;0.237366;0.243835;0.252518;0.241104;0.255402;0.265244;0.239197;0.233597;0.248688;0.241028;0.268295;0.281494;0.258301;0.245834;0.253494;0.226196;0.250641;0.267273;0.240082;0.259369;0.237213;0.290970;0.239197;0.243912;0.283524;0.280441;0.212830;0.262299;0.282471;0.249588;0.240082;0.245773;0.259369;0.252518;0.245834;0.228134;0.254486;0.276276;0.266327;0.240158;0.283524;0.246811;0.254486;0.261368;0.253494;0.267197;0.252518;0.246811;0.298386;0.272232;0.263229;0.270340;0.254410;0.250565;0.311432;0.255402;0.285721;0.260376;0.277390;0.245834;0.264313;0.291962;0.256393;0.265320;0.284653;0.249664;0.249588;0.258301;0.247711;0.303787;0.304901;0.242950;0.275314;0.250565;0.270264;0.263306;0.282547;0.265320;0.286621;0.247635
202;0.240265;0.251221;0.300995;0.259583;0.256714;0.263336;0.279877;0.300995;0.250275;0.295776;0.253021;0.275894;0.240265;0.266159;0.250351;0.249344;0.271118;0.245697;0.300034;0.268188;0.280792;0.273987;0.261414;0.291809;0.293777;0.239426;0.255844;0.241180;0.296814;0.258621;0.283813;0.292755;0.272995;0.259659;0.266312;0.258698;0.263412;0.297928;0.311386;0.295853;0.277802;0.283813;0.284744;0.282730;0.267212;0.280792;0.292755;0.309311;0.258621;0.294815;0.272919;0.268112;0.268188;0.289841;0.276810;0.287796;0.277878;0.278870;0.270966;0.291809;0.298904;0.268112;0.316879;0.293869;0.273911;0.282730;0.284744;0.303101;0.243927;0.257751;0.271942;0.307175;0.304153;0.302048;0.280792;0.290863;0.288818;0.282806;0.305145;0.306122;0.324310;0.266312;0.302048;0.304153;0.289841;0.282806;0.270142;0.289841;0.291809;0.281799;0.257751;0.283737;0.289841;0.276886;0.323288;0.300034;0.296890;0.269089;0.330933;0.263412;0.285828;0.280716;0.304077;0.276810;0.297928;0.321182;0.295776;0.276886;0.313538;0.328690;0.294891;0.278870;0.323288;0.293777;0.302048;0.324402;0.297928;0.293869;0.278870;0.317795;0.332047
204;0.518723;0.524643;0.529556;0.544647;0.526627;0.518799;0.509323;0.508362;0.524643;0.517899;0.539566;0.518723;0.528549;0.513031;0.546738;0.529480;0.567749;0.547699;0.531494;0.531494;0.543610;0.542648;0.540588;0.545685;0.540588;0.572159;0.551910;0.543610;0.546661;0.532501;0.544571;0.531570;0.544647;0.546738;0.559219;0.530487;0.585495;0.550858;0.540512;0.545685;0.518875;0.548828;0.531494;0.537598;0.512131;0.514969;0.544647;0.542648;0.509247;0.550858;0.513992;0.550858;0.558151;0.524643;0.535553;0.552979;0.550781;0.539566;0.579895;0.544647;0.554031;0.535553;0.566742;0.536575;0.528549;0.549805;0.528549;0.565643;0.535477;0.558151;0.573257;0.517899;0.548828;0.544647;0.526627;0.591156;0.547791;0.576538;0.524643;0.541534;0.538620;0.564545;0.528473;0.535553;0.535553;0.544571;0.551910;0.554031;0.561371;0.595718;0.580933;0.550858;0.566742;0.548752;0.531570;0.579803;0.598068;0.585403;0.536499;0.521667;0.563538;0.541534;0.568848;0.556091;0.556091;0.570038;0.548828;0.567841;0.530563;0.543610;0.578690;0.562454;0.543686;0.539566;0.514969;0.547791;0.544647;0.528625;0.577652;0.557159;0.550858
206;1.587692;1.566132;1.598343;1.552353;1.561081;1.594055;1.600540;1.592896;1.587692;1.631927;1.584503;1.584579;1.602646;1.591904;1.598343;1.606918;1.578262;1.587692;1.587601;1.605896;1.583511;1.609253;1.604858;1.579391;1.592972;1.584503;1.590897;1.578339;1.587692;1.574173;1.592896;1.631927;1.604858;1.607101;1.641220;1.585556;1.598343;1.578339;1.592896;1.595139;1.630661;1.589828;1.560150;1.601547;1.540924;1.607101;1.599350;1.589828;1.596069;1.599442;1.591904;1.588760;1.589828;1.638992;1.581329;1.607010;1.588760;1.598251;1.599442;1.596237;1.614807;1.615860;1.630753;1.587601;1.599350;1.589828;1.612442;1.609253;1.579391;1.614807;1.640198;1.596146;1.612625;1.595139;1.608139;1.621597;1.602646;1.585632;1.613678;1.620438;1.607101;1.608139;1.605972;1.585480;1.630753;1.614807;1.577209;1.577286;1.613678;1.610382;1.609253;1.598343;1.641403;1.595139;1.647217;1.627228;1.648438;1.610291;1.610291;1.599442;1.588760;1.600449;1.592972;1.622757;1.627228;1.624985;1.641220;1.620438;1.595139;1.638901;1.608139;1.595139;1.599442;1.594055;1.633118;1.638992;1.623917;1.654633;1.630753;1.640198;1.601639
